id,x,y,Species,line_num,gmm
485909730,45.99606,-5.01011,0,0,
323865917,31.40058,16.92516,0,0,
504615116,0.696248,37.75004,0,0,
558076716,63.67371,-4.11506,0,0,
476135066,28.95949,2.6697,0,0,
502614426,52.98909,7.224406,0,0,
480087928,48.15683,5.472547,0,0,
566506157,23.03404,-0.54141,0,0,
513593674,32.42908,-1.10373,0,0,
470098860,22.17008,9.921862,0,0,
473611755,18.57097,13.76754,0,0,
479091820,5.488481,-23.4962,0,0,
501799874,4.442821,-5.16985,0,0,
524857207,-2.67745,40.14318,0,0,
490283519,28.54988,9.526431,0,0,
524090036,16.32578,-26.8339,0,0,
314804042,51.22969,4.299861,0,0,
488688374,36.86095,1.003526,0,0,
588729065,1.372222,39.40279,0,0,
488679042,4.382902,41.50828,0,0,
599177740,35.80192,10.68386,0,0,
579662784,3.181941,-10.6306,0,3,
480169202,2.962698,41.9426,0,0,
502267531,47.32602,10.82567,0,0,
488428837,-7.07948,0.428305,0,0,
502367941,15.97932,30.30547,0,0,
497590510,14.96883,-26.2623,0,0,
517974394,38.43531,2.746286,0,0,
484738748,46.42574,-1.10855,0,0,
507101551,45.54881,-16.9661,0,0,
515202564,35.1186,9.242994,0,0,
560678143,11.23647,42.99368,0,3,
322723785,29.83442,-4.37485,0,0,
476457450,41.6294,22.71407,0,0,
477127614,19.9381,26.84914,0,0,
589452470,37.66507,-0.24099,0,3,
562965437,6.179152,17.67353,0,0,
490263211,18.69532,-14.6273,0,0,
509003464,4.948542,-10.267,0,0,
605141937,44.32952,-15.9614,0,0,
589128331,10.22942,29.97248,0,0,
573410831,34.88931,15.87785,0,3,
572827931,5.862791,31.56273,0,0,
558474375,31.90276,30.24039,0,0,
490172112,53.60734,13.68335,0,0,
490916919,16.26204,-27.0378,0,0,
486198953,-5.67722,-29.1479,0,0,
471129934,22.29623,-15.0571,0,0,
524850271,23.89973,-23.5855,0,0,
487445455,30.87026,-11.4197,0,0,
486025194,41.68632,19.89829,0,0,
584635215,22.37586,-21.0195,0,0,
508887004,14.87693,-6.51037,0,0,
485934207,21.67544,29.03258,0,0,
515949222,26.08349,-8.01545,0,0,
577813827,6.403997,-18.9035,0,0,
478500297,21.40225,25.45741,0,0,
490283114,40.12695,-9.8076,0,0,
502100978,44.53715,-12.2552,0,0,
585018101,15.61623,-25.4141,0,0,
517977609,32.72857,-1.68353,0,0,
369697038,31.74613,1.135495,0,0,
479225294,23.8872,24.72942,0,0,
476053392,21.97467,24.00154,0,0,
569664731,25.54774,0.067245,0,0,
486029942,30.23233,12.25147,0,0,
580007431,57.17677,-9.93067,0,0,
464326158,63.01922,2.765891,0,0,
559104842,63.44382,-7.37282,0,0,
595511209,29.47923,-18.491,0,0,
566991946,22.82121,-22.6458,0,0,
569424261,40.95336,12.4273,0,0,
322762730,9.065895,-10.313,0,0,
486235288,37.48251,17.17906,0,0,
590556126,0.720888,0.854175,0,3,
